"treatment","handle","gender","race","educ"
"intolerant","Leave it, do nothing","Female","Others","High school graduate"
"uncivil","Permanently remove the post ","Female","White","College"
"intolerant","Leave it, do nothing","Male","Others","College"
"threatening","Leave it, do nothing","Male","White","High school graduate"
"control","Leave it, do nothing","Male","White","High school graduate"
"intolerant","Leave it, do nothing","Male","White","High school graduate"
"non-group-related","Leave it, do nothing","Female","Hispanic","College"
"threatening","Leave it, do nothing","Female","Black","High school graduate"
"control","Place a warning label on the post ","Female","Others","Postgraduate"
"uncivil","Leave it, do nothing","Female","Hispanic","College"
"uncivil","Leave it, do nothing","Female","White","High school graduate"
"control","Leave it, do nothing","Female","Hispanic","High school graduate"
"non-group-related","Leave it, do nothing","Female","Others","College"
"threatening","Permanently remove the post ","Male","White","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"intolerant","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Male","Others","High school graduate"
"threatening","Leave it, do nothing","Female","Hispanic","College"
"control","Leave it, do nothing","Male","White","High school graduate"
"non-group-related","Leave it, do nothing","Female","Others","High school graduate"
"non-group-related","Leave it, do nothing","Female","White","Postgraduate"
"non-group-related","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Female","White","College"
"uncivil","Leave it, do nothing","Female","White","High school graduate"
"threatening","Leave it, do nothing","Female","Others","College"
"intolerant","Leave it, do nothing","Female","White","College"
"threatening","Leave it, do nothing","Female","White","College"
"intolerant","Place a warning label on the post ","Female","Hispanic","High school graduate"
"non-group-related","Leave it, do nothing","Female","Others","College"
"non-group-related","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Female","White","Postgraduate"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"uncivil","Leave it, do nothing","Male","White","College"
"control","Leave it, do nothing","Male","White","High school graduate,Professional degree"
"threatening","Leave it, do nothing","Male","White","College"
"non-group-related","Leave it, do nothing","Male","White","High school graduate"
"control","Leave it, do nothing","Female","White","Postgraduate"
"uncivil","Leave it, do nothing","Female","Hispanic","High school graduate"
"intolerant","Leave it, do nothing","Female","Black","High school graduate,College"
"intolerant","Place a warning label on the post ","Male","Hispanic","College"
"threatening","Permanently remove the post ","Female","Hispanic","College"
"uncivil","Permanently remove the post ","Female","White","High school graduate"
"control","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"threatening","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","Hispanic","PhD"
"control","Reduce how many people can see the post ","Female","Black","College"
"non-group-related","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Other","White","Professional degree"
"threatening","Leave it, do nothing","Female","Others","College"
"uncivil","Place a warning label on the post ","Female","White","College"
"intolerant","Leave it, do nothing","Male","White","Postgraduate"
"non-group-related","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Other",NA,"High school graduate"
"intolerant","Leave it, do nothing","Female","Others","College"
"control","Reduce how many people can see the post ","Male","Hispanic","Professional degree"
"non-group-related","Leave it, do nothing","Male","White","Postgraduate"
"control","Leave it, do nothing","Male","Others","Postgraduate"
"intolerant","Reduce how many people can see the post ","Female","Others","High school graduate"
"threatening","Place a warning label on the post ","Male","Others","PhD"
"uncivil","Leave it, do nothing","Male","Hispanic","High school graduate"
"uncivil","Leave it, do nothing","Male","White","College"
"non-group-related","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","Black","Postgraduate"
"threatening","Leave it, do nothing","Male","Others","High school graduate"
"intolerant","Leave it, do nothing","Male","Hispanic","College"
"control","Leave it, do nothing","Female","White","College"
"uncivil","Reduce how many people can see the post ","Female","Hispanic","High school graduate"
"uncivil","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Female","White","College"
"uncivil","Leave it, do nothing","Female","White","College"
"threatening","Permanently remove the post ","Male","White","Professional degree"
"control","Leave it, do nothing","Female","White","Postgraduate"
"control","Leave it, do nothing","Other","Black","College"
"control","Leave it, do nothing","Male","White","High school graduate"
"control","Leave it, do nothing","Female","White","High school graduate"
"non-group-related","Leave it, do nothing","Female","White","College"
"uncivil","Leave it, do nothing","Male","Others","College"
"intolerant","Leave it, do nothing","Male","White","College"
"uncivil","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","Others","Postgraduate"
"threatening","Leave it, do nothing","Male","White","High school graduate"
"threatening","Leave it, do nothing","Male","White","Postgraduate"
"control","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Male","White","College"
"non-group-related","Leave it, do nothing","Male","Hispanic","High school graduate"
"threatening","Leave it, do nothing","Female","Others","Postgraduate"
"intolerant","Leave it, do nothing","Male","Hispanic","High school graduate"
"non-group-related","Leave it, do nothing","Female","Others","Professional degree"
"intolerant","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Male","White","Postgraduate"
"uncivil","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Male","White","College"
"control","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"threatening","Permanently remove the post ","Female","White","College"
"threatening","Place a warning label on the post ","Female","Black","High school graduate,College"
"uncivil","Leave it, do nothing","Female","White","Professional degree"
"non-group-related","Leave it, do nothing","Female","Others","College"
"control","Leave it, do nothing","Male","White","High school graduate"
"uncivil","Place a warning label on the post ","Male","White","College"
"intolerant","Leave it, do nothing","Male","White","Postgraduate"
"uncivil","Leave it, do nothing","Male","Black","High school graduate"
"non-group-related","Leave it, do nothing","Female","Black","College"
"intolerant","Leave it, do nothing","Female","Black","College"
"control","Leave it, do nothing","Female","White","Professional degree"
"intolerant","Leave it, do nothing","Female","Others","College"
"intolerant","Leave it, do nothing","Female","White","College"
"threatening","Leave it, do nothing","Male","White","College"
"uncivil","Leave it, do nothing","Female","White","Professional degree"
"control","Leave it, do nothing","Female","Hispanic","Professional degree"
"intolerant","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Female","Black","College"
"threatening","Reduce how many people can see the post ","Female","Others","Postgraduate"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"uncivil","Leave it, do nothing","Male","Hispanic","High school graduate"
"control","Leave it, do nothing","Female","White","Postgraduate"
"threatening","Leave it, do nothing","Female","Others","High school graduate"
"control","Leave it, do nothing","Male","Black","High school graduate"
"non-group-related","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Male","White","High school graduate"
"control","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Male","White","High school graduate"
"non-group-related","Place a warning label on the post ","Male","Black","Professional degree"
"uncivil","Permanently remove the post ","Male","Others","College"
"intolerant","Leave it, do nothing","Male","White","College"
"non-group-related","Leave it, do nothing","Male","White","High school graduate"
"control","Leave it, do nothing","Female","White","College"
"threatening","Suspend the person’s account ","Male","White","Less than high school"
"threatening","Leave it, do nothing","Male","White","Postgraduate"
"control","Leave it, do nothing","Male","Others","College"
"threatening","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Female","White","High school graduate"
"non-group-related","Leave it, do nothing","Female","Hispanic","College"
"control","Leave it, do nothing","Female","White","College"
"uncivil","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Female","Hispanic","High school graduate"
"uncivil","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Female","Others","Postgraduate"
"control","Leave it, do nothing","Female","Others","Professional degree,College"
"intolerant","Leave it, do nothing","Male","Others","Postgraduate"
"threatening","Place a warning label on the post ","Male","Black","Postgraduate"
"intolerant","Leave it, do nothing","Male","Others","College"
"uncivil","Place a warning label on the post ","Female","White","High school graduate"
"control","Leave it, do nothing","Male","Others","College"
"threatening","Permanently remove the post ","Male","White","PhD"
"intolerant","Leave it, do nothing","Female","White","High school graduate"
"non-group-related","Leave it, do nothing","Male","Black","High school graduate"
"non-group-related","Leave it, do nothing","Male","White","Postgraduate"
"non-group-related","Leave it, do nothing","Female","White","Postgraduate"
"uncivil","Place a warning label on the post ","Female","Black","College"
"uncivil","Leave it, do nothing","Male","White","College"
"control","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Male","White","Postgraduate"
"control","Leave it, do nothing","Female","Hispanic","High school graduate"
"uncivil","Leave it, do nothing","Male","White","College"
"intolerant","Place a warning label on the post ","Female","White","College"
"intolerant","Reduce how many people can see the post ","Female","White","Postgraduate"
"threatening","Leave it, do nothing","Female","White","High school graduate"
"intolerant","Leave it, do nothing","Male","White","High school graduate,College"
"uncivil","Leave it, do nothing","Female","White","Postgraduate"
"threatening","Leave it, do nothing","Female","Others","High school graduate"
"non-group-related","Leave it, do nothing","Male","White","High school graduate"
"intolerant","Leave it, do nothing","Male","White","High school graduate"
"non-group-related","Leave it, do nothing","Male","Black","Professional degree"
"control","Leave it, do nothing","Female","Hispanic","College"
"threatening","Leave it, do nothing","Female","White","Postgraduate"
"threatening","Leave it, do nothing","Female","Hispanic","High school graduate"
"control","Leave it, do nothing","Male","Black","High school graduate"
"uncivil","Leave it, do nothing","Male","Others","College"
"non-group-related","Leave it, do nothing","Female","Others","High school graduate,College"
"uncivil","Leave it, do nothing","Female","White","Professional degree"
"threatening","Leave it, do nothing","Female","Others","College"
"non-group-related","Leave it, do nothing","Male","White","Postgraduate"
"threatening","Leave it, do nothing","Male","White","High school graduate"
"uncivil","Leave it, do nothing","Female","Black","High school graduate"
"intolerant","Leave it, do nothing","Female","White","High school graduate"
"intolerant","Leave it, do nothing","Female","White","College"
"threatening","Place a warning label on the post ","Female","Hispanic","College"
"control","Leave it, do nothing","Female","Hispanic","College"
"non-group-related","Leave it, do nothing","Female","Black","High school graduate"
"threatening","Suspend the person’s account ","Male","White","College"
"intolerant","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Female","White","High school graduate"
"control","Leave it, do nothing","Male","Black","High school graduate"
"threatening","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Female","White","High school graduate"
"non-group-related","Leave it, do nothing","Male","Others","College"
"uncivil","Leave it, do nothing","Male","White","College"
"uncivil","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Female","White","Professional degree"
"intolerant","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Female","White","College"
"threatening","Leave it, do nothing","Male","White","College"
"uncivil","Place a warning label on the post ","Female","White","High school graduate"
"non-group-related","Leave it, do nothing","Female","White","Postgraduate"
"threatening","Leave it, do nothing","Female","Others","College"
"control","Leave it, do nothing","Female","Hispanic","College"
"uncivil","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Female","White","Professional degree,College"
"threatening","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Female","White","Postgraduate"
"control","Place a warning label on the post ","Male","White","College"
"control","Reduce how many people can see the post ","Female","Hispanic","High school graduate"
"uncivil","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Female","White","College"
"non-group-related","Leave it, do nothing","Female","White","High school graduate"
"intolerant","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Female","White","College"
"threatening","Place a warning label on the post ","Male","White","College"
"control","Leave it, do nothing","Male","White","College"
"non-group-related","Leave it, do nothing","Male","Others","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"intolerant","Leave it, do nothing","Other","White","High school graduate"
"uncivil","Leave it, do nothing","Female","Others","College"
"uncivil","Leave it, do nothing","Female","White","High school graduate"
"control","Leave it, do nothing","Male","White","College"
"non-group-related","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Other","White","High school graduate"
"threatening","Leave it, do nothing","Male","White","High school graduate"
"intolerant","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Female","White","College"
