"treatment","handle","gender","racecat_anes","educ"
"uncivil","Leave it, do nothing","Female","Black","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","College"
"non-group-related control","Leave it, do nothing","Male","White","Postgraduate (e.g. Masters)"
"uncivil","Permanently remove the post ","Female","White","Postgraduate (e.g. Masters)"
"threatening","Suspend the person’s account ","Female","White","High school graduate"
"intolerant","Leave it, do nothing","Male","Hispanic","High school graduate"
"control","Leave it, do nothing","Male","White","College"
"threatening","Permanently remove the post ","Male","White","High school graduate"
"control","Permanently remove the post ","Female","White","College"
"uncivil","Leave it, do nothing","Male","White","Postgraduate (e.g. Masters)"
"intolerant","Leave it, do nothing","Female","White","Postgraduate (e.g. Masters)"
"non-group-related control","Leave it, do nothing","Male","White","Postgraduate (e.g. Masters)"
"uncivil","Suspend the person’s account ","Male","Black","Professional degree"
"threatening","Suspend the person’s account ","Male","White","College"
"intolerant","Place a warning label on the post ","Female","White","College"
"intolerant","Leave it, do nothing","Male","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate"
"control","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Place a warning label on the post ","Female","Race other/multiple","College"
"non-group-related control","Leave it, do nothing","Male","White","College"
"control","Leave it, do nothing","Male","White","College"
"threatening","Suspend the person’s account ","Female","White","College"
"intolerant","Leave it, do nothing","Female","White","PhD"
"non-group-related control","Leave it, do nothing","Female","Race other/multiple","High school graduate,College"
"threatening","Suspend the person’s account ","Female","Race other/multiple","College"
"uncivil","Leave it, do nothing","Female","White","College"
"threatening","Permanently remove the post ","Male","Hispanic","High school graduate"
"control","Place a warning label on the post ","Female","White","College"
"uncivil","Leave it, do nothing","Female","White","College"
"non-group-related control","Leave it, do nothing","Female","Black","High school graduate"
"control","Leave it, do nothing","Female","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","Postgraduate (e.g. Masters)"
"intolerant","Place a warning label on the post ","Male","White","High school graduate"
"intolerant","Place a warning label on the post ","Male","White","College"
"uncivil","Place a warning label on the post ","Male","Hispanic","High school graduate"
"threatening","Place a warning label on the post ","Male","Race other/multiple","Postgraduate (e.g. Masters)"
"threatening","Place a warning label on the post ","Female","White","High school graduate"
"control","Leave it, do nothing","Female","Race other/multiple","PhD"
"uncivil","Leave it, do nothing","Male","Race other/multiple","High school graduate"
"control","Place a warning label on the post ","Female","White","College"
"intolerant","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Male","White","Less than high school,High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","College"
"uncivil","Reduce how many people can see the post ","Female","White","College"
"intolerant","Leave it, do nothing","Male","Race other/multiple","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","College"
"intolerant","Permanently remove the post ","Female","Black","High school graduate"
"non-group-related control","Leave it, do nothing","Male","White","High school graduate"
"threatening","Permanently remove the post ","Female","White","Postgraduate (e.g. Masters)"
"threatening","Suspend the person’s account ","Female","Black","College"
"uncivil","Reduce how many people can see the post ","Male","Race other/multiple","College"
"control","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Male","White","PhD"
"non-group-related control","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Female","Race other/multiple","College"
"threatening","Permanently remove the post ","Male","White","PhD"
"control","Leave it, do nothing","Female","Race other/multiple","College"
"non-group-related control","Leave it, do nothing","Female","Race other/multiple","College"
"control","Place a warning label on the post ","Female","Hispanic","Postgraduate (e.g. Masters)"
"intolerant","Place a warning label on the post ","Female","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","Black","College"
"threatening","Suspend the person’s account ","Male","Race other/multiple","High school graduate"
"uncivil","Permanently remove the post ","Male","Black","Professional degree"
"threatening","Permanently remove the post ","Female","White","College"
"uncivil","Reduce how many people can see the post ","Female","White","High school graduate"
"threatening","Leave it, do nothing","Female","White","Less than high school"
"control","Leave it, do nothing","Female","White","College"
"control","Permanently remove the post ","Male","Hispanic","College"
"uncivil","Leave it, do nothing","Female","Race other/multiple","Professional degree"
"intolerant","Leave it, do nothing","Female","White","High school graduate"
"intolerant","Leave it, do nothing","Male","Race other/multiple","College"
"non-group-related control","Leave it, do nothing","Male","White","Professional degree"
"intolerant","Suspend the person’s account ","Female","Hispanic","High school graduate"
"uncivil","Place a warning label on the post ","Female","Race other/multiple","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","Postgraduate (e.g. Masters)"
"uncivil","Place a warning label on the post ","Female","White","High school graduate"
"uncivil","Place a warning label on the post ","Female","White","High school graduate"
"control","Place a warning label on the post ","Male","Hispanic","PhD"
"control","Leave it, do nothing","Female","Black","High school graduate"
"control","Reduce how many people can see the post ","Female","White","College"
"threatening","Leave it, do nothing","Female","White","College"
"threatening","Suspend the person’s account ","Male","White","Postgraduate (e.g. Masters)"
"non-group-related control","Leave it, do nothing","Female","White","College"
"threatening","Suspend the person’s account ","Male","White","High school graduate"
"intolerant","Permanently remove the post ","Female","White","Professional degree"
"uncivil","Leave it, do nothing","Male","White","Less than high school"
"control","Leave it, do nothing","Male","White","College"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"intolerant","Leave it, do nothing","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Female","Black","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","College"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate"
"control","Leave it, do nothing","Female","White","College"
"threatening","Place a warning label on the post ","Female","Race other/multiple","Postgraduate (e.g. Masters)"
"uncivil","Place a warning label on the post ","Female","White","College"
"non-group-related control","Leave it, do nothing","Female","White","College"
"intolerant","Place a warning label on the post ","Male","White","PhD"
"non-group-related control","Leave it, do nothing","Other","White","High school graduate"
"uncivil","Place a warning label on the post ","Male","Race other/multiple","Postgraduate (e.g. Masters)"
"uncivil","Leave it, do nothing","Female","White","High school graduate"
"intolerant","Place a warning label on the post ","Female","White","College"
"non-group-related control","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Male","Race other/multiple","College"
"control","Leave it, do nothing","Female","Race other/multiple","College"
"threatening","Permanently remove the post ","Female","White","College"
"threatening","Permanently remove the post ","Male","White","College"
"threatening","Leave it, do nothing","Male","White","College"
"non-group-related control","Leave it, do nothing","Male","White","High school graduate"
"non-group-related control","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Female","White","High school graduate"
"threatening","Suspend the person’s account ","Male","White","High school graduate"
"control","Leave it, do nothing","Male","White","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"threatening","Permanently remove the post ","Female","Hispanic","Professional degree"
"uncivil","Leave it, do nothing","Male","White","College"
"intolerant","Leave it, do nothing","Male","Race other/multiple","College"
"intolerant","Leave it, do nothing","Male","Race other/multiple","High school graduate"
"control","Place a warning label on the post ","Female","White","College"
"intolerant","Leave it, do nothing","Male","White","PhD"
"control","Leave it, do nothing","Female","White","PhD"
"intolerant","Suspend the person’s account ","Female","Black","High school graduate"
"uncivil","Reduce how many people can see the post ","Male","White","College"
