"treatment","handle","gender","race","educ","partisan"
"threatening","Permanently remove the post ","Male","White","High school graduate","target: republicans"
"intolerant","Place a warning label on the post ","Female","White","Postgraduate","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: republicans"
"non-group-related control","Leave it, do nothing","Female","White","Postgraduate","non-group-related control"
"control","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"threatening","Place a warning label on the post ","Male","Others","High school graduate","target: democrats"
"uncivil","Suspend the person’s account ","Male","Others","College","target: republicans"
"uncivil","Reduce how many people can see the post ","Female","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","Others","College","target: democrats"
"uncivil","Leave it, do nothing","Female","White","College","target: democrats"
"control","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","High school graduate","non-group-related control"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"threatening","Permanently remove the post ","Male","White","High school graduate","target: democrats"
"intolerant","Permanently remove the post ","Male","White","College","target: democrats"
"control","Leave it, do nothing","Female","Others","College","target: republicans"
"uncivil","Leave it, do nothing","Female","Hispanic","College","target: democrats"
"non-group-related control","Leave it, do nothing","Female","Hispanic","Postgraduate","non-group-related control"
"threatening","Permanently remove the post ","Female","White","College","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: republicans"
"uncivil","Leave it, do nothing","Male","Others","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: democrats"
"threatening","Leave it, do nothing","Female","White","College","target: democrats"
"threatening","Place a warning label on the post ","Female","Others","College","target: republicans"
"intolerant","Suspend the person’s account ","Male","White","High school graduate","target: democrats"
"intolerant","Place a warning label on the post ","Male","White","High school graduate,College","target: republicans"
"uncivil","Leave it, do nothing","Male","White","College","target: democrats"
"threatening","Leave it, do nothing","Male","White","Postgraduate","target: democrats"
"uncivil","Place a warning label on the post ","Male","White","Postgraduate","target: democrats"
"threatening","Leave it, do nothing","Other","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: democrats"
"uncivil","Permanently remove the post ","Female","White","College","target: democrats"
"control","Leave it, do nothing","Female","White","Professional degree","target: republicans"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"intolerant","Permanently remove the post ","Female","Black","High school graduate","target: democrats"
"control","Leave it, do nothing","Male","Hispanic","High school graduate","target: republicans"
"intolerant","Leave it, do nothing","Female","White","College","target: democrats"
"control","Leave it, do nothing","Female","White","College","target: democrats"
"uncivil","Leave it, do nothing","Female","White","Postgraduate","target: democrats"
"threatening","Leave it, do nothing","Female","Others","College","target: republicans"
"uncivil","Leave it, do nothing","Other","White","College","target: republicans"
"intolerant","Suspend the person’s account ","Male","White","College","target: democrats"
"non-group-related control","Leave it, do nothing","Female","Others","College","non-group-related control"
"control","Leave it, do nothing","Male","Others","College","target: democrats"
"non-group-related control","Leave it, do nothing","Female","Black","High school graduate","non-group-related control"
"threatening","Place a warning label on the post ","Male","Others","PhD","target: democrats"
"uncivil","Leave it, do nothing","Male","White","College","target: republicans"
"control","Leave it, do nothing","Male","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","Hispanic","College","target: republicans"
"threatening","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"control","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"threatening","Place a warning label on the post ","Male","White","College","target: democrats"
"control","Leave it, do nothing","Female","Others","College","target: democrats"
"threatening","Permanently remove the post ","Male","White","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Female","Others","PhD","target: democrats"
"uncivil","Leave it, do nothing","Female","White","College","target: democrats"
"intolerant","Leave it, do nothing","Female","White","College","target: republicans"
"uncivil","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Female","Black","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"uncivil","Leave it, do nothing","Male","White","College","target: republicans"
"threatening","Permanently remove the post ","Male","White","College","target: republicans"
"threatening","Leave it, do nothing","Male","Others","College","target: democrats"
"uncivil","Leave it, do nothing","Female","White","College","target: republicans"
"control","Leave it, do nothing","Male","Others","High school graduate","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","Professional degree","non-group-related control"
"uncivil","Reduce how many people can see the post ","Female","White","Postgraduate","target: democrats"
"non-group-related control","Leave it, do nothing","Male","Others","College","non-group-related control"
"control","Leave it, do nothing","Female","Hispanic","High school graduate","target: republicans"
"non-group-related control","Leave it, do nothing","Male","Hispanic","College","non-group-related control"
"intolerant","Leave it, do nothing","Female","Black","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Male","Others","High school graduate","target: democrats"
"threatening","Leave it, do nothing","Female","White","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Other","White","College","target: republicans"
"uncivil","Place a warning label on the post ","Male","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"intolerant","Place a warning label on the post ","Female","White","Professional degree","target: democrats"
"control","Leave it, do nothing","Female","Black","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Male","Hispanic","Postgraduate","target: republicans"
"uncivil","Leave it, do nothing","Male","White","Professional degree","target: democrats"
"control","Leave it, do nothing","Other","Hispanic","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Male","White","College","target: democrats"
"intolerant","Leave it, do nothing","Male","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","College","target: democrats"
"uncivil","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Female","White","Professional degree","target: democrats"
"threatening","Permanently remove the post ","Female","White","Professional degree","target: democrats"
"control","Reduce how many people can see the post ","Female","White","College","target: republicans"
"intolerant","Place a warning label on the post ","Female","Others","College","target: democrats"
"non-group-related control","Leave it, do nothing","Male","Hispanic","College","non-group-related control"
"non-group-related control","Leave it, do nothing","Female","Others","College","non-group-related control"
